pair	exposure	outcome	status	n_ivs	method	beta	se	p
Chong_2022__BPD_noUKBB	Chong_2022	BPD_noUKBB	OK	35	Inverse variance weighted	-0.0696878261114446	0.132026310427695	0.597615342125104
Chong_2022__BPD_noUKBB	Chong_2022	BPD_noUKBB	OK	35	MR Egger	0.154226303992164	0.307785637441289	0.620229044338727
Chong_2022__BPD_noUKBB	Chong_2022	BPD_noUKBB	OK	35	Weighted median	-0.110461074855281	0.21017394198999	0.599187150268655
Chong_2022__BPD_noUKBB	Chong_2022	BPD_noUKBB	OK	35	Robust adjusted profile score (RAPS)	-0.153673656065826	0.134053505709701	0.251645981688107
Chong_2022__PFactor	Chong_2022	PFactor	OK	29	Inverse variance weighted	-0.00871866762103852	0.0177437042814562	0.623167024381839
Chong_2022__PFactor	Chong_2022	PFactor	OK	29	MR Egger	0.00860377920091785	0.0398453426055519	0.830665821808866
Chong_2022__PFactor	Chong_2022	PFactor	OK	29	Weighted median	0.00974732810929472	0.0174500746273341	0.576445833285335
Chong_2022__PFactor	Chong_2022	PFactor	OK	29	Robust adjusted profile score (RAPS)	-0.00989569453032386	0.0175671959698337	0.573227012283274
Chong_2022__F1	Chong_2022	F1	OK	29	Inverse variance weighted	-0.0738024890986984	0.0591550394356615	0.212173478847614
Chong_2022__F1	Chong_2022	F1	OK	29	MR Egger	-0.0427366950284695	0.139762525589694	0.76211681269763
Chong_2022__F1	Chong_2022	F1	OK	29	Weighted median	-0.0766320700856227	0.079084940736578	0.332552996422907
Chong_2022__F1	Chong_2022	F1	OK	29	Robust adjusted profile score (RAPS)	-0.0598390628342322	0.0596983739159361	0.316171365074257
Chong_2022__F2	Chong_2022	F2	OK	29	Inverse variance weighted	0.00552601715414448	0.0516687474202619	0.914827961299261
Chong_2022__F2	Chong_2022	F2	OK	29	MR Egger	-0.0866796962769226	0.119516470038496	0.474536136756558
Chong_2022__F2	Chong_2022	F2	OK	29	Weighted median	-0.00746765458004624	0.0563591414238793	0.894587863961889
Chong_2022__F2	Chong_2022	F2	OK	29	Robust adjusted profile score (RAPS)	-0.0121634271380412	0.0518040738656552	0.81436650598027
Chong_2022__F3	Chong_2022	F3	OK	29	Inverse variance weighted	-0.127646074169463	0.0459153481266202	0.00543537714359339
