pair	exposure	outcome	status	n_ivs	beta	se	p	q_p	egger_p	presso_p	q_BH
Chong_2022__AN	Chong_2022	AN	OK	50	0.0740177210270312	0.101824346743397	0.467277570348179	0.944351814132787	0.36907193569159	0.9816	0.9524933476636
Chong_2022__BPD	Chong_2022	BPD	OK	37	-0.0141249836017899	0.13577421550513	0.917143250210948	0.259456706785302	0.525870152397814	0.0575675675675676	0.965413947590472
Chong_2022__TS	Chong_2022	TS	OK	50	0.140484571214153	0.193010111148402	0.466698556222194	0.939876057848564	0.79909696136547	0.9826	0.9524933476636
Chong_2022__PPD	Chong_2022	PPD	OK	59	0.0756077537430498	0.0989723647942338	0.444910192272492	0.78491388850466	0.516167729909694	0.779830508474576	0.9524933476636
Chong_2022__ADR_PercImp	Chong_2022	ADR_PercImp	OK	41	-0.222617847907633	0.161508194935889	0.16808946828266	0.999995948817921	0.628063805421752	1	0.905411454770789
Chong_2022__ADR_NonRem	Chong_2022	ADR_NonRem	OK	34	0.144547028789021	0.39373642162048	0.713532325135326	0.999999814430786	0.673532320761226	1	0.9524933476636
Chong_2022__BD_noUKBB	Chong_2022	BD_noUKBB	OK	56	0.099762875632769	0.0763119925136489	0.191109919696835	0.0767639401065561	0.719560264618838	0.0501785714285714	0.917309980009889
Chong_2022__MDD_noUKBB	Chong_2022	MDD_noUKBB	OK	55	0.0603276724104618	0.0716130636188195	0.39955762636771	0.157630587349309	0.899762449680545	0.114909090909091	0.9524933476636
Chong_2022__BPD_noUKBB	Chong_2022	BPD_noUKBB	OK	35	-0.0696878261114446	0.132026310427695	0.597615342125104	0.401417430864446	0.426770190082684	0.12	0.9524933476636
Chong_2022__PFactor	Chong_2022	PFactor	OK	29	-0.00871866762103852	0.0177437042814562	0.623167024381839	3.56116346510354e-07	0.630026142429061		0.9524933476636
Chong_2022__F1	Chong_2022	F1	OK	29	-0.0738024890986984	0.0591550394356615	0.212173478847614	0.383182934237689	0.807336756795101	0.428965517241379	0.9524933476636
Chong_2022__F2	Chong_2022	F2	OK	29	0.00552601715414448	0.0516687474202619	0.914827961299261	0.00210906718045642	0.399249052673588	0.00241379310344828	0.965413947590472
Chong_2022__F3	Chong_2022	F3	OK	29	-0.127646074169463	0.0459153481266202	0.00543537714359339	0.882163691581746	0.778197957777817	0.892413793103448	0.27176885717967
Chong_2022__F4	Chong_2022	F4	OK	29	-0.00650074400714596	0.0205628761552162	0.751896381969924	1.04402099033317e-06	0.511608636197033		0.9524933476636
Chong_2022__F5	Chong_2022	F5	OK	29	0.0359391673969602	0.0317083615499209	0.257034262277296	0.000634595454602045	0.869173911672135		0.9524933476636
Chong_2022__BMI	Chong_2022	BMI	OK	25	-0.0509082173167429	0.0444533923777032	0.252124526211141	4.24507980639986e-18	0.340025178726875		0.9524933476636
