tissue	gene_id	outcome	n_snps	PP0	PP1	PP2	PP3	PP4
Brain_Amygdala	ENSG00000055955.17	ASD	466	6.03108516702858e-15	0.707098551600532	1.52230924191571e-15	0.178364564344927	0.114536884054535
Brain_Amygdala	ENSG00000055955.17	ADHD	415	8.70047592876777e-15	0.987667401967014	2.973152036978e-17	0.0033661194040935	0.0089664786288813
Brain_Amygdala	ENSG00000055955.17	F3	302	1.08482817903174e-14	0.985557365196605	5.62834383004628e-17	0.0051039648215554	0.00933866998182796
Brain_Amygdala	ENSG00000242142.1	ASD	221	2.98911820300804e-22	0.960819199185736	7.0954234424756e-24	0.0227910692140599	0.0163897316002022
Brain_Amygdala	ENSG00000242142.1	ADHD	200	3.54504506869052e-22	0.990503880176074	1.08886702303033e-24	0.003035890404802	0.0064602294191265
Brain_Amygdala	ENSG00000242142.1	F3	86	1.22819754671725e-21	0.995944883369574	6.77845756071407e-25	0.000546155882890609	0.00350896074753729
Brain_Amygdala	ENSG00000163933.10	ASD	200	2.53365945699629e-14	0.962287657931265	5.75526535169554e-16	0.0218427144088141	0.015869627659894
Brain_Amygdala	ENSG00000163933.10	ADHD	181	2.94141083072231e-14	0.990776699735614	7.86695479927125e-17	0.00264330332829708	0.00657999693605921
Brain_Amygdala	ENSG00000163933.10	F3	77	6.76079100450661e-14	0.996006907702628	3.29070361878215e-17	0.000481278136204814	0.00351181416109813
Brain_Amygdala	ENSG00000113812.14	ASD	123	1.06176520593732e-08	0.986772826712622	1.6369668908456e-11	0.00150963053719516	0.011717532116161
Brain_Amygdala	ENSG00000113812.14	ADHD	106	1.17800794470501e-08	0.994252178687717	7.61234061146704e-12	0.000637379824451699	0.00511042970013907
Brain_Amygdala	ENSG00000180376.17	ASD	301	4.9987005630959e-09	0.820267000277847	1.98671936394797e-10	0.0324540003280881	0.147278994196693
Brain_Amygdala	ENSG00000180376.17	ADHD	251	1.19847038333424e-08	0.980836880901303	1.43518654487318e-10	0.0117382462360234	0.00742486073445059
Brain_Amygdala	ENSG00000180376.17	F3	126	0.000167810568907673	0.972748679782358	1.34926745996887e-06	0.00780202783930656	0.0192801325419671
Brain_Amygdala	ENSG00000168374.11	ASD	94	0.125502744786142	0.863601151106636	0.000134498864860607	0.000915658708476509	0.0098459465338857
Brain_Amygdala	ENSG00000168374.11	ADHD	83	0.134433088930468	0.807907957679681	0.000711418930693452	0.00422271823074711	0.0527248162284111
Brain_Amygdala	ENSG00000168374.11	F3	33	0.306548714395758	0.687633748134202	8.04877058225841e-05	0.000174983668511598	0.00556206609570588
Brain_Amygdala	ENSG00000136068.16	ASD	46	0.0253229294307128	0.966820259185633	2.05253935464869e-05	0.000776592385938944	0.00705969360416893
Brain_Amygdala	ENSG00000136068.16	ADHD	43	0.0254923210696346	0.968522902746409	1.66280348227308e-05	0.000626402712413481	0.00534174543671991
Brain_Amygdala	ENSG00000273493.1	ASD	48	0.673493308456482	0.311368918625294	0.00134567741990978	0.000608949424204959	0.0131831460741091
