pair	exposure	outcome	n_iv	method	beta	se	p	egger_intercept	egger_intercept_p	cochran_Q_p_ivw	presso_global_p	presso_raw_p	presso_outlier_corrected_b	presso_outlier_corrected_p
Gupta_2023_adj__PFactor	Gupta_2023_adj	PFactor	21	Robust adjusted profile score (RAPS)	0.00104884241472041	0.0126142040751199	0.933734075412755	0.0016518666730786	0.195766009984669	3.05443199278868e-07	0.000476190476190476	0.593788889739106	0.00914510270435449	0.330395922401441
Gupta_2023_adj__F1	Gupta_2023_adj	F1	21	Inverse variance weighted	-0.0142405964881465	0.0408244725922559	0.727220696622331	0.006082589583597	0.119575031542507	0.429275427291296	0.431904761904762	0.730866150231967		
Gupta_2023_adj__F1	Gupta_2023_adj	F1	21	MR Egger	-0.135913481763279	0.0848593487316338	0.125732386041564	0.006082589583597	0.119575031542507	0.429275427291296	0.431904761904762	0.730866150231967		
Gupta_2023_adj__F1	Gupta_2023_adj	F1	21	Weighted median	-0.0380384830248467	0.0569550237072593	0.504217348269133	0.006082589583597	0.119575031542507	0.429275427291296	0.431904761904762	0.730866150231967		
Gupta_2023_adj__F1	Gupta_2023_adj	F1	21	Robust adjusted profile score (RAPS)	-0.00556468029290945	0.0418460836693736	0.894209422852143	0.006082589583597	0.119575031542507	0.429275427291296	0.431904761904762	0.730866150231967		
Gupta_2023_adj__F2	Gupta_2023_adj	F2	21	Inverse variance weighted	-0.0302782702837936	0.0366725334574644	0.409008960071436	0.00708541225209338	0.0333523525525435	0.00486889833753684	0.00666666666666667	0.418749126681895		
Gupta_2023_adj__F2	Gupta_2023_adj	F2	21	MR Egger	-0.171478720469933	0.0699776195360242	0.0241245404370049	0.00708541225209338	0.0333523525525435	0.00486889833753684	0.00666666666666667	0.418749126681895		
Gupta_2023_adj__F2	Gupta_2023_adj	F2	21	Weighted median	-0.0677511507226013	0.0395586266258542	0.0867719752586501	0.00708541225209338	0.0333523525525435	0.00486889833753684	0.00666666666666667	0.418749126681895		
Gupta_2023_adj__F2	Gupta_2023_adj	F2	21	Robust adjusted profile score (RAPS)	-0.0462332927894537	0.0375076854754603	0.217711903932997	0.00708541225209338	0.0333523525525435	0.00486889833753684	0.00666666666666667	0.418749126681895		
Gupta_2023_adj__F3	Gupta_2023_adj	F3	21	Inverse variance weighted	-0.0789227772082635	0.0375705568139475	0.0356712641353177	-0.00396964953390603	0.264284182403979	0.113175055897798	0.0980952380952381	0.0485539316209009		
Gupta_2023_adj__F3	Gupta_2023_adj	F3	21	MR Egger	-0.000873553902190746	0.0774125640837133	0.991114193668087	-0.00396964953390603	0.264284182403979	0.113175055897798	0.0980952380952381	0.0485539316209009		
