pair	exposure_role	outcome_role	threshold_used	status	n_iv	n_iv_pre_steiger	mean_F	method	beta	SE	p	q_pval	egger_intercept	egger_intercept_p	presso_global_p	presso_corrected_b	presso_corrected_p	steiger_passes	FLAG_REVERSE_HIT
REV_ANX__Chong_2022	ANX	Chong_2022	5e-08	OK	55	55	37.3	MR Egger	-0.00918	0.04305	0.832	0.173	0.00126	0.385	0.125	NA	NA	1.000	FALSE
REV_ANX__Chong_2022	ANX	Chong_2022	5e-08	OK	55	55	37.3	Weighted median	0.04613	0.01486	0.002	NA	0.00126	0.385	0.125	NA	NA	1.000	FALSE
REV_ANX__Chong_2022	ANX	Chong_2022	5e-08	OK	55	55	37.3	Robust adjusted profile score (RAPS)	0.03101	0.01091	0.004	NA	0.00126	0.385	0.125	NA	NA	1.000	FALSE
REV_ANX__Gupta_2023_raw	ANX	Gupta_2023_raw	5e-08	OK	52	52	37.3	Inverse variance weighted	0.01352	0.02215	0.542	1.98e-04	-1.51937e-04	0.961	2.00e-04	-0.00340	0.858	1.000	FALSE
REV_ANX__Gupta_2023_raw	ANX	Gupta_2023_raw	5e-08	OK	52	52	37.3	MR Egger	0.01790	0.09258	0.847	1.41e-04	-1.51937e-04	0.961	2.00e-04	-0.00340	0.858	1.000	FALSE
REV_ANX__Gupta_2023_raw	ANX	Gupta_2023_raw	5e-08	OK	52	52	37.3	Weighted median	0.01605	0.02549	0.529	NA	-1.51937e-04	0.961	2.00e-04	-0.00340	0.858	1.000	FALSE
REV_ANX__Gupta_2023_raw	ANX	Gupta_2023_raw	5e-08	OK	52	52	37.3	Robust adjusted profile score (RAPS)	0.00880	0.02205	0.690	NA	-1.51937e-04	0.961	2.00e-04	-0.00340	0.858	1.000	FALSE
REV_ANX__Gupta_2023_adj	ANX	Gupta_2023_adj	5e-08	OK	52	52	37.3	Inverse variance weighted	0.02120	0.01992	0.287	0.015	0.00254	0.364	0.013	0.02936	0.117	1.000	FALSE
REV_ANX__Gupta_2023_adj	ANX	Gupta_2023_adj	5e-08	OK	52	52	37.3	MR Egger	-0.05214	0.08256	0.531	0.015	0.00254	0.364	0.013	0.02936	0.117	1.000	FALSE
REV_ANX__Gupta_2023_adj	ANX	Gupta_2023_adj	5e-08	OK	52	52	37.3	Weighted median	0.00489	0.02479	0.844	NA	0.00254	0.364	0.013	0.02936	0.117	1.000	FALSE
REV_ANX__Gupta_2023_adj	ANX	Gupta_2023_adj	5e-08	OK	52	52	37.3	Robust adjusted profile score (RAPS)	0.02188	0.02022	0.279	NA	0.00254	0.364	0.013	0.02936	0.117	1.000	FALSE
REV_OCD__Longchamps_2022	OCD	Longchamps_2022	1e-05	OK	71	71	22.3	Inverse variance weighted	-0.00346	0.00528	0.512	0.030	-0.00120	0.377	0.032	NA	NA	1.000	FALSE
REV_OCD__Longchamps_2022	OCD	Longchamps_2022	1e-05	OK	71	71	22.3	MR Egger	0.01436	0.02073	0.491	0.030	-0.00120	0.377	0.032	NA	NA	1.000	FALSE
REV_OCD__Longchamps_2022	OCD	Longchamps_2022	1e-05	OK	71	71	22.3	Weighted median	-0.00470	0.00638	0.461	NA	-0.00120	0.377	0.032	NA	NA	1.000	FALSE
REV_OCD__Longchamps_2022	OCD	Longchamps_2022	1e-05	OK	71	71	22.3	Robust adjusted profile score (RAPS)	-0.00227	0.00568	0.690	NA	-0.00120	0.377	0.032	NA	NA	1.000	FALSE
REV_OCD__Chong_2022	OCD	Chong_2022	1e-05	OK	71	71	22.3	Inverse variance weighted	0.00285	0.00499	0.568	0.595	4.32426e-04	0.718	0.718	NA	NA	1.000	FALSE
REV_OCD__Chong_2022	OCD	Chong_2022	1e-05	OK	71	71	22.3	MR Egger	-0.00354	0.01831	0.847	0.564	4.32426e-04	0.718	0.718	NA	NA	1.000	FALSE
REV_OCD__Chong_2022	OCD	Chong_2022	1e-05	OK	71	71	22.3	Weighted median	-0.00140	0.00730	0.848	NA	4.32426e-04	0.718	0.718	NA	NA	1.000	FALSE
REV_OCD__Chong_2022	OCD	Chong_2022	1e-05	OK	71	71	22.3	Robust adjusted profile score (RAPS)	0.00359	0.00534	0.502	NA	4.32426e-04	0.718	0.718	NA	NA	1.000	FALSE
REV_OCD__Gupta_2023_raw	OCD	Gupta_2023_raw	1e-05	OK	68	68	22.3	Inverse variance weighted	0.00309	0.00919	0.737	0.019	0.00131	0.575	0.021	NA	NA	1.000	FALSE
REV_OCD__Gupta_2023_raw	OCD	Gupta_2023_raw	1e-05	OK	68	68	22.3	MR Egger	-0.01633	0.03567	0.649	0.017	0.00131	0.575	0.021	NA	NA	1.000	FALSE
